$cal(P)$,$cal(Q)$,$cal(R)$,$cal(P) and cal(Q)$,$cal(Q) and cal(R)$,$(cal(P) and cal(Q)) and cal(R)$,$cal(P) and (cal(Q) and cal(R))$
V,V,V,V,V,V,V
V,V,F,V,F,F,F
V,V,I,V,I,I,I
V,F,V,F,F,F,F
V,F,F,F,F,F,F
V,F,I,F,F,F,F
V,I,V,I,I,I,I
V,I,F,I,F,F,F
V,I,I,I,I,I,I
F,V,V,F,V,F,F
F,V,F,F,F,F,F
F,V,I,F,I,F,F
F,F,V,F,F,F,F
F,F,F,F,F,F,F
F,F,I,F,F,F,F
F,I,V,F,I,F,F
F,I,F,F,F,F,F
F,I,I,F,I,F,F
I,V,V,I,V,I,I
I,V,F,I,F,F,F
I,V,I,I,I,I,I
I,F,V,F,F,F,F
I,F,F,F,F,F,F
I,F,I,F,F,F,F
I,I,V,I,I,I,I
I,I,F,I,F,F,F
I,I,I,I,I,I,I
