$cal(P)$,$cal(Q)$,$cal(R)$,$cal(P) ==> cal(Q)$,$cal(Q) ==> cal(R)$,$(cal(P) ==> cal(Q)) and (cal(Q) ==> cal(R))$,$cal(P) ==> cal(R)$,$((cal(P) ==> cal(Q)) and (cal(Q) ==> cal(R))) ==> (cal(P) ==> cal(R))$
V,V,V,V,V,V,V,V
V,V,F,V,F,F,F,V
V,V,I,V,I,I,I,V
V,F,V,F,V,F,V,V
V,F,F,F,V,F,F,V
V,F,I,F,V,F,I,V
V,I,V,I,V,I,V,V
V,I,F,I,I,I,F,I
V,I,I,I,V,I,I,V
F,V,V,V,V,V,V,V
F,V,F,V,F,F,V,V
F,V,I,V,I,I,V,V
F,F,V,V,V,V,V,V
F,F,F,V,V,V,V,V
F,F,I,V,V,V,V,V
F,I,V,V,V,V,V,V
F,I,F,V,I,I,V,V
F,I,I,V,V,V,V,V
I,V,V,V,V,V,V,V
I,V,F,V,F,F,I,V
I,V,I,V,I,I,V,V
I,F,V,I,V,I,V,V
I,F,F,I,V,I,I,V
I,F,I,I,V,I,V,V
I,I,V,V,V,V,V,V
I,I,F,V,I,I,I,V
I,I,I,V,V,V,V,V
